episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/sample_time_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,info/learner/default_policy/num_agent_steps_trained,info/learner/default_policy/num_grad_updates_lifetime,info/learner/default_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/grad_gnorm,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
nan,nan,nan,nan,0,0,2,0,0,4000,4000,4000,4000,4000,4000,4000,4000,4000,False,0,1,40f87_00000,2023-09-21_12-21-25,1695270085,21.85452103614807,21.85452103614807,24712,DESKTOP-VQNVLBP,127.0.0.1,21.85452103614807,1,4000,4000,4000,4000,nan,nan,nan,nan,0,0,[],[],21841.522,11613.221,26.002,153836.144,10195.328,392.337,6.972,4000,4000,4000,4000,29.97741935483871,61.96129032258062,[],[],127.74193548387096,248.5,247.5,0.0,0.28684157990820464,0.20000000000000004,0.10000000000000002,0.0014719244448520663,-0.00012338254606631029,0.5393574733527438,-0.061125897111431245,0.0077068655428691865,0.6864958316568406,0.0
nan,nan,nan,nan,0,0,2,0,0,8000,8000,8000,8000,4000,4000,8000,4000,8000,False,0,2,40f87_00000,2023-09-21_12-21-47,1695270107,21.953225135803223,43.807746171951294,24712,DESKTOP-VQNVLBP,127.0.0.1,43.807746171951294,2,8000,8000,8000,8000,nan,nan,nan,nan,0,0,[],[],21891.362,11608.373,25.001,159994.049,10250.502,390.225,7.487,8000,8000,8000,8000,29.60322580645161,62.2,[],[],127.74193548387096,744.5,247.5,0.0,0.21359778344330768,0.20000000000000004,0.007000000000000003,0.0027074743317620407,-0.002563590071194114,0.43899304680376044,-0.28322808528619425,0.026135816326499296,0.6627638776215815,0.0
nan,nan,nan,nan,0,0,2,0,0,12000,12000,12000,12000,4000,4000,12000,4000,12000,False,0,3,40f87_00000,2023-09-21_12-22-09,1695270129,22.219139337539673,66.02688550949097,24712,DESKTOP-VQNVLBP,127.0.0.1,66.02688550949097,3,12000,12000,12000,12000,nan,nan,nan,nan,0,0,[],[],21996.627,11601.561,24.334,164378.833,10363.078,385.986,7.654,12000,12000,12000,12000,30.66451612903226,62.17419354838711,[],[],127.74193548387096,1240.5,247.5,0.0,0.22698219882083998,0.29999999999999993,0.003,-0.03191542174036224,-0.040046948138032966,0.2555622011272898,-0.2677538385314326,0.027019886362266363,0.6108256119393534,0.0
nan,nan,nan,nan,0,0,2,0,0,16000,16000,16000,16000,4000,4000,16000,4000,16000,False,0,4,40f87_00000,2023-09-21_12-22-31,1695270151,22.14514708518982,88.17203259468079,24712,DESKTOP-VQNVLBP,127.0.0.1,88.17203259468079,4,16000,16000,16000,16000,nan,nan,nan,nan,0,0,[],[],22030.513,11576.113,24.25,164946.219,10422.661,383.779,7.489,16000,16000,16000,16000,29.799999999999997,62.241935483870954,[],[],127.74193548387096,1736.5,247.5,0.0,0.22621748342569317,0.45000000000000007,0.00098,-0.04217065868320905,-0.051594092734082934,0.43244376153715197,-0.3888678173384359,0.020844873472625626,0.5937938256970337,0.0
nan,nan,nan,nan,0,0,2,0,0,20000,20000,20000,20000,4000,4000,20000,4000,20000,False,0,5,40f87_00000,2023-09-21_12-22-54,1695270174,22.49010920524597,110.66214179992676,24712,DESKTOP-VQNVLBP,127.0.0.1,110.66214179992676,5,20000,20000,20000,20000,nan,nan,nan,nan,0,0,[],[],22120.032,11570.827,24.206,165247.183,10516.814,380.343,7.986,20000,20000,20000,20000,29.796875,62.22187500000001,[],[],127.74193548387096,2232.5,247.5,0.0,0.4204907985854774,0.6750000000000002,0.00094,-0.053332492791777174,-0.07324755753304471,0.17243622158533864,-0.2495461869384012,0.02947825765117044,0.5481214973955385,0.0
nan,nan,nan,nan,0,0,2,0,0,24000,24000,24000,24000,4000,4000,24000,4000,24000,False,0,6,40f87_00000,2023-09-21_12-23-16,1695270196,22.59319758415222,133.25533938407898,24712,DESKTOP-VQNVLBP,127.0.0.1,133.25533938407898,6,24000,24000,24000,24000,nan,nan,nan,nan,0,0,[],[],22196.727,11617.102,24.338,164352.532,10547.132,379.25,7.989,24000,24000,24000,24000,29.645161290322584,62.33548387096773,[],[],127.74193548387096,2728.5,247.5,0.0,0.351622877357107,1.0124999999999997,0.0008999999999999999,-0.043003147499891176,-0.06246502644001251,0.2708427322307421,-0.2617658915058259,0.019194855622680702,0.5511242017870949,0.0
nan,nan,nan,nan,0,0,2,0,0,28000,28000,28000,28000,4000,4000,28000,4000,28000,False,0,7,40f87_00000,2023-09-21_12-23-39,1695270219,22.2536563873291,155.50899577140808,24712,DESKTOP-VQNVLBP,127.0.0.1,155.50899577140808,7,28000,28000,28000,28000,nan,nan,nan,nan,0,0,[],[],22203.002,11610.406,24.289,164680.403,10560.317,378.777,7.847,28000,28000,28000,28000,29.448387096774194,62.20000000000002,[],[],127.74193548387096,3224.5,247.5,0.0,0.3118947873703174,1.0124999999999997,0.0008599999999999998,-0.05618897332216523,-0.07499452911501829,0.22080389389227476,-0.15246291098094755,0.01855157746275572,0.5482742269072802,0.0
nan,nan,nan,nan,0,0,2,0,0,32000,32000,32000,32000,4000,4000,32000,4000,32000,False,0,8,40f87_00000,2023-09-21_12-24-01,1695270241,22.080716848373413,177.5897126197815,24712,DESKTOP-VQNVLBP,127.0.0.1,177.5897126197815,8,32000,32000,32000,32000,nan,nan,nan,nan,0,0,[],[],22185.967,11602.583,24.128,165780.105,10551.014,379.11,7.741,32000,32000,32000,32000,30.519354838709678,62.222580645161266,[],[],127.74193548387096,3720.5,247.5,0.0,0.3137024421575329,1.0124999999999997,0.0008199999999999998,-0.0549307840157135,-0.07528212416953524,0.22825546691855114,-0.06131117069913495,0.02007754434329399,0.524568006456379,0.0
nan,nan,nan,nan,0,0,2,0,0,36000,36000,36000,36000,4000,4000,36000,4000,36000,False,0,9,40f87_00000,2023-09-21_12-24-22,1695270262,21.835580587387085,199.42529320716858,24712,DESKTOP-VQNVLBP,127.0.0.1,199.42529320716858,9,36000,36000,36000,36000,nan,nan,nan,nan,0,0,[],[],22145.48,11588.353,24.003,166644.716,10524.912,380.051,7.767,36000,36000,36000,36000,29.20322580645162,62.18064516129033,[],[],127.74193548387096,4216.5,247.5,0.0,0.31682873508262055,1.5187500000000003,0.00078,-0.06089513820047761,-0.08535837954203147,0.1749029248472183,-0.10750339372504142,0.01609596778237497,0.544080026628029,0.0
nan,nan,nan,nan,0,0,2,0,0,40000,40000,40000,40000,4000,4000,40000,4000,40000,False,0,10,40f87_00000,2023-09-21_12-24-44,1695270284,21.74928379058838,221.17457699775696,24712,DESKTOP-VQNVLBP,127.0.0.1,221.17457699775696,10,40000,40000,40000,40000,nan,nan,nan,nan,0,0,[],[],22104.558,11574.409,24.003,166647.787,10497.959,381.026,7.687,40000,40000,40000,40000,29.24,62.29333333333334,[],[],127.74193548387096,4712.5,247.5,0.0,0.29355040368353646,1.5187500000000003,0.0007399999999999999,-0.04294385024038474,-0.06262553442100456,0.24910864955745637,-0.2798192581582454,0.012942732819633625,0.5673898767319417,0.0
